id,age,education,occupation,income,mobility,health,life_quality
340971,29,HS-grad,Other-service,16919,0.117,4,7
134450,66,Doctorate,Prof-specialty,174000,0.213,3,8
164854,72,Some-college,Other-service,172996,0.000,5,8
288429,60,Bachelors,Adm-clerical,17800,0.000,1,7
163058,38,Some-college,Other-service,173000,0.129,4,4
76294,22,Some-college,Other-service,200000,0.200,4,5
60910,58,HS-grad,Other-service,192500,0.875,2,10
358728,19,HS-grad,Exec-managerial,182000,0.351,1,10
135690,61,Bachelors,Prof-specialty,168450,0.176,3,6
163066,63,Bachelors,Prof-specialty,196000,0.517,3,5
40829,22,Some-college,Exec-managerial,192750,0.489,3,1
330719,48,Masters,Prof-specialty,153115,0.976,4,6
182754,49,HS-grad,Other-service,15700,0.412,4,7
188696,55,Some-college,Exec-managerial,175000,0.994,4,3
63208,25,HS-grad,Prof-specialty,18155,0.989,5,9
177901,59,Bachelors,Exec-managerial,151220,0.333,3,10
53827,29,Masters,Exec-managerial,198000,0.989,3,5
312593,67,Bachelors,Exec-managerial,183000,0.925,1,8
369134,69,Some-college,Prof-specialty,169115,0.191,2,2
247249,65,Bachelors,Other-service,185179,0.279,4,8
254079,46,Doctorate,Prof-specialty,18100,0.192,4,1
267984,72,Doctorate,Prof-specialty,153000,0.425,4,6
14527,54,HS-grad,Prof-specialty,162000,0.990,5,1
37359,29,Some-college,Other-service,151000,0.253,4,8
351700,61,Some-college,Handlers-cleaners,193000,0.888,4,8
23405,51,Some-college,Handlers-cleaners,17635,0.725,5,9
9287,74,Some-college,Other-service,181000,0.627,3,9
90588,30,HS-grad,Other-service,170000,0.492,1,2
345591,35,Some-college,Sales,200000,0.134,5,5
107913,54,HS-grad,Other-service,176533,0.011,5,7
58464,51,Bachelors,Handlers-cleaners,199820,0.982,3,9
387183,70,Bachelors,Exec-managerial,194875,0.142,4,8
260263,26,Bachelors,Prof-specialty,16312,0.000,4,8
357017,61,HS-grad,Handlers-cleaners,155000,0.000,4,4
49180,60,Bachelors,Sales,15198,0.751,4,3
394799,49,Masters,Adm-clerical,196000,0.631,2,9
184911,65,Some-college,Handlers-cleaners,200000,0.234,3,6
364247,20,Some-college,Other-service,163400,0.500,1,9
34305,59,Some-college,Sales,169340,0.725,4,6
127736,58,Doctorate,Sales,168995,0.394,2,6
215552,47,Masters,Prof-specialty,189123,0.111,3,8
154629,48,HS-grad,Other-service,15465,0.216,2,8
63984,34,Bachelors,Adm-clerical,169611,0.013,2,4
84743,28,Bachelors,Exec-managerial,181123,0.115,2,9
359534,81,Doctorate,Prof-specialty,17000,0.191,1,3
330547,78,Some-college,Sales,15111,0.429,4,6
303547,81,HS-grad,Other-service,18400,0.011,3,1
35610,67,Bachelors,Exec-managerial,15232,0.993,4,1
107806,48,Some-college,Craft-repair,180551,0.515,1,5
150731,56,HS-grad,Other-service,148000,0.158,2,5
257279,30,Bachelors,Handlers-cleaners,19800,0.531,5,1
218991,57,Bachelors,Sales,192000,0.419,2,7
378317,25,Bachelors,Craft-repair,163941,0.059,3,10
332122,27,Masters,Prof-specialty,175000,0.999,3,6
398964,46,Doctorate,Other-service,200000,0.192,2,4
35139,53,HS-grad,Other-service,181111,0.529,2,9
228257,80,HS-grad,Handlers-cleaners,171511,0.234,5,9
224322,67,Some-college,Exec-managerial,173000,0.655,4,2
132085,67,Doctorate,Exec-managerial,158875,0.926,2,9
119371,58,HS-grad,Other-service,19051,0.000,1,4
300609,39,HS-grad,Exec-managerial,188000,0.995,2,9
10614,28,Doctorate,Craft-repair,185000,0.531,1,3
209361,43,Some-college,Craft-repair,20000,0.000,5,2
383566,44,HS-grad,Craft-repair,158000,0.275,1,2
92031,22,HS-grad,Exec-managerial,175600,0.115,2,8
388002,42,Some-college,Sales,18911,0.142,4,7
147362,30,Bachelors,Adm-clerical,18729,0.011,4,7
199795,53,HS-grad,Sales,173100,0.111,3,8
145764,54,HS-grad,Handlers-cleaners,175000,0.619,4,9
98870,22,Some-college,Adm-clerical,174219,0.189,1,8
258933,75,Some-college,Exec-managerial,172500,0.111,5,4
228054,42,Masters,Other-service,19218,0.109,5,7
90765,60,Some-college,Prof-specialty,192800,0.111,1,8
296550,73,Doctorate,Prof-specialty,150000,0.196,1,2
336641,65,Doctorate,Exec-managerial,184333,0.151,2,7
200051,37,Some-college,Other-service,32000,0.000,5,8
395634,58,Bachelors,Other-service,145600,0.813,1,6
39596,26,HS-grad,Other-service,19235,0.011,1,6
121738,68,HS-grad,Prof-specialty,192000,0.351,5,5
5556,26,Some-college,Handlers-cleaners,175000,0.219,5,1
135404,32,Masters,Exec-managerial,160000,0.849,5,6
164762,73,Masters,Prof-specialty,194200,0.111,2,4
285543,69,HS-grad,Other-service,133321,0.011,2,8
325731,53,HS-grad,Other-service,15430,0.118,4,7
