id,age,education,occupation,income,mobility,health,life_quality
1,68,Some-college,Prof-specialty,174200,0.195,4,7
2,28,Masters,Exec-managerial,193500,0.142,3,5
3,49,HS-grad,Other-service,180700,0.111,4,4
4,70,Doctorate,Sales,159500,0.965,1,6
5,46,Some-college,Handlers-cleaners,184200,0.876,3,2
6,32,Bachelors,Adm-clerical,177300,0.123,5,9
8,77,Masters,Exec-managerial,199500,0.234,5,8
9,35,Doctorate,Other-service,185500,0.982,2,1
10,48,Some-college,Sales,173400,0.511,3,6
31,44,Doctorate,Exec-managerial,196000,0.234,3,5
34,59,HS-grad,Prof-specialty,170000,0.528,4,3
35,42,HS-grad,Adm-clerical,180000,0.194,2,6
36,52,Bachelors,Exec-managerial,168000,0.635,3,10
37,41,Doctorate,Prof-specialty,194000,0.983,4,2
38,78,Some-college,Adm-clerical,186000,0.432,4,8
39,67,HS-grad,Other-service,164000,0.265,1,5
40,33,Bachelors,Prof-specialty,172000,0.591,3,7
61,58,HS-grad,Adm-clerical,19896,0.103,2,5
62,72,Doctorate,Prof-specialty,164811,0.415,3,8
63,55,HS-grad,Other-service,171155,0.193,5,6
64,63,Bachelors,Adm-clerical,172311,0.741,3,10
65,83,Bachelors,Exec-managerial,174145,0.955,2,6
66,44,Some-college,Sales,186234,0.113,1,9
67,91,Some-college,Handlers-cleaners,177351,0.425,3,3
68,59,HS-grad,Machine-op-inspct,169819,0.835,2,2
69,78,Doctorate,Prof-specialty,195945,0.275,4,4
70,85,Some-college,Exec-managerial,175419,0.135,1,1
72,72,Masters,Exec-managerial,174000,0.999,2,7
74,21,HS-grad,Adm-clerical,163000,0.973,4,2
77,51,Bachelors,Exec-managerial,152000,0.993,2,9
78,55,Some-college,Handlers-cleaners,180000,0.991,1,10
79,69,HS-grad,Sales,174000,0.998,2,5
80,27,HS-grad,Adm-clerical,155000,0.999,4,1
101,53,Doctorate,Prof-specialty,99995,0.118,3,4
102,26,Some-college,Other-service,16245,0.0,2,5
104,44,HS-grad,Handlers-cleaners,15195,0.994,4,3
106,82,Doctorate,Exec-managerial,172351,0.5,2,9
108,85,Bachelors,Other-service,177555,0.011,3,8
109,38,Masters,Prof-specialty,184811,0.956,4,6
151,30,HS-grad,Other-service,19700,0.111,4,8
152,28,Masters,Exec-managerial,192900,0.998,4,8
153,49,Some-college,Handlers-cleaners,18100,0.005,1,3
154,46,Bachelors,Adm-clerical,161300,0.225,5,9
155,42,Doctorate,Prof-specialty,197700,0.093,5,7
156,70,HS-grad,Other-service,158700,0.999,2,4
157,29,HS-grad,Other-service,185600,0.017,2,6
158,61,Bachelors,Prof-specialty,182100,0.511,4,2
159,35,Some-college,Other-service,166200,0.021,4,3
160,52,HS-grad,Adm-clerical,192700,0.955,5,5
161,65,Doctorate,Prof-specialty,198000,0.134,4,9
162,72,Some-college,Adm-clerical,170000,0.995,5,7
163,21,HS-grad,Sales,180000,0.0,2,8
164,45,Bachelors,Handlers-cleaners,155000,0.823,3,3
165,50,Masters,Exec-managerial,185000,0.542,1,1
166,61,HS-grad,Other-service,160000,0.0,2,8
167,48,Some-college,Tech-support,195000,0.111,1,7
168,66,Doctorate,Prof-specialty,180000,0.0,1,7
169,39,HS-grad,Exec-managerial,165000,0.996,5,8
170,71,Bachelors,Adm-clerical,190000,0.0,5,1
172,72,Masters,Exec-managerial,191700,0.994,4,7
173,58,Some-college,Adm-clerical,17570,0.142,3,6
174,61,HS-grad,Prof-specialty,19830,0.823,3,9
176,54,Doctorate,Craft-repair,16650,0.998,1,2
177,81,HS-grad,Adm-clerical,19350,0.528,2,5
178,63,Masters,Exec-managerial,18580,0.234,5,3
179,69,Some-college,Prof-specialty,19330,0.191,4,6
180,92,HS-grad,Tech-support,199800,0.123,1,9
202,84,Some-college,Adm-clerical,198421,0.123,2,6
203,64,Bachelors,Prof-specialty,176543,0.902,5,9
204,77,Doctorate,Exec-managerial,190115,0.512,1,5
205,63,Some-college,Sales,184119,0.235,4,8
206,45,HS-grad,Other-service,154118,0.876,3,4
207,82,Some-college,Prof-specialty,167511,0.456,2,7
208,58,Bachelors,Adm-clerical,173611,0.198,1,8
209,92,Bachelors,Prof-specialty,198419,0.671,5,2
210,35,HS-grad,Handlers-cleaners,159621,0.945,4,10
211,45,Masters,Exec-managerial,170000,0.127,4,7
212,23,HS-grad,Adm-clerical,188000,0.528,3,4
213,62,Bachelors,Sales,167000,0.215,2,5
215,32,Some-college,Other-service,175000,0.421,1,8
216,51,HS-grad,Craft-repair,180000,0.819,3,6
217,85,Prof-specialty,Exec-managerial,191000,0.395,4,7
218,29,Masters,Handlers-cleaners,187000,0.511,2,9
219,71,Bachelors,Prof-specialty,163000,0.983,5,4
220,42,Doctorate,Tech-support,198000,0.196,1,2
244,22,HS-grad,Sales,191131,0.935,1,3
247,25,HS-grad,Other-service,163111,0.419,3,4
250,29,Masters,Other-service,158051,0.155,5,6
251,34,HS-grad,Exec-managerial,142000,0.0,2,8
252,73,Some-college,Prof-specialty,192000,0.9,2,8
254,91,Doctorate,Exec-managerial,174000,0.0,4,9
255,67,Bachelors,Handlers-cleaners,162000,0.6,2,9
256,69,HS-grad,Prof-specialty,157000,0.9,5,9
260,79,Bachelors,Handlers-cleaners,175000,0.0,2,8
271,52,HS-grad,Adm-clerical,19800,0.216,5,9
272,45,HS-grad,Other-service,18700,0.609,3,8
273,82,Bachelors,Exec-managerial,194000,0.345,4,9
274,38,Masters,Adm-clerical,159000,0.996,1,8
275,63,Doctorate,Prof-specialty,187000,0.117,3,9
276,85,HS-grad,Other-service,199000,0.642,2,7
277,46,HS-grad,Handlers-cleaners,18200,0.531,3,8
278,65,Some-college,Sales,162000,0.275,1,9
280,77,Masters,Prof-specialty,191000,0.186,2,8
