id,age,education,occupation,income,mobility,health,life_quality
1,53,Some-college,Prof-specialty,128325,0.479,3,6
2,53,Masters,Exec-managerial,128325,0.479,3,6
3,53,HS-grad,Other-service,128325,0.479,3,6
4,53,Doctorate,Sales,128325,0.479,3,6
5,53,Some-college,Handlers-cleaners,128325,0.479,3,6
6,53,Bachelors,Adm-clerical,128325,0.479,3,6
8,53,Masters,Exec-managerial,128325,0.479,3,6
9,53,Doctorate,Other-service,128325,0.479,3,6
10,53,Some-college,Sales,128325,0.479,3,6
31,53,Doctorate,Exec-managerial,128325,0.479,3,6
34,53,HS-grad,Prof-specialty,128325,0.479,3,6
35,53,HS-grad,Adm-clerical,128325,0.479,3,6
36,53,Bachelors,Exec-managerial,128325,0.479,3,6
37,53,Doctorate,Prof-specialty,128325,0.479,3,6
38,53,Some-college,Adm-clerical,128325,0.479,3,6
39,53,HS-grad,Other-service,128325,0.479,3,6
40,53,Bachelors,Prof-specialty,128325,0.479,3,6
61,53,HS-grad,Adm-clerical,128325,0.479,3,6
62,53,Doctorate,Prof-specialty,128325,0.479,3,6
63,53,HS-grad,Other-service,128325,0.479,3,6
64,53,Bachelors,Adm-clerical,128325,0.479,3,6
65,53,Bachelors,Exec-managerial,128325,0.479,3,6
66,53,Some-college,Sales,128325,0.479,3,6
67,53,Some-college,Handlers-cleaners,128325,0.479,3,6
68,53,HS-grad,Machine-op-inspct,128325,0.479,3,6
69,53,Doctorate,Prof-specialty,128325,0.479,3,6
70,53,Some-college,Exec-managerial,128325,0.479,3,6
72,53,Masters,Exec-managerial,128325,0.479,3,6
74,53,HS-grad,Adm-clerical,128325,0.479,3,6
77,53,Bachelors,Exec-managerial,128325,0.479,3,6
78,53,Some-college,Handlers-cleaners,128325,0.479,3,6
79,53,HS-grad,Sales,128325,0.479,3,6
80,53,HS-grad,Adm-clerical,128325,0.479,3,6
101,53,Doctorate,Prof-specialty,128325,0.479,3,6
102,53,Some-college,Other-service,128325,0.479,3,6
104,53,HS-grad,Handlers-cleaners,128325,0.479,3,6
106,53,Doctorate,Exec-managerial,128325,0.479,3,6
108,53,Bachelors,Other-service,128325,0.479,3,6
109,53,Masters,Prof-specialty,128325,0.479,3,6
151,53,HS-grad,Other-service,128325,0.479,3,6
152,53,Masters,Exec-managerial,128325,0.479,3,6
153,53,Some-college,Handlers-cleaners,128325,0.479,3,6
154,53,Bachelors,Adm-clerical,128325,0.479,3,6
155,53,Doctorate,Prof-specialty,128325,0.479,3,6
156,53,HS-grad,Other-service,128325,0.479,3,6
157,53,HS-grad,Other-service,128325,0.479,3,6
158,53,Bachelors,Prof-specialty,128325,0.479,3,6
159,53,Some-college,Other-service,128325,0.479,3,6
160,53,HS-grad,Adm-clerical,128325,0.479,3,6
161,53,Doctorate,Prof-specialty,128325,0.479,3,6
162,53,Some-college,Adm-clerical,128325,0.479,3,6
163,53,HS-grad,Sales,128325,0.479,3,6
164,53,Bachelors,Handlers-cleaners,128325,0.479,3,6
165,53,Masters,Exec-managerial,128325,0.479,3,6
166,53,HS-grad,Other-service,128325,0.479,3,6
167,53,Some-college,Tech-support,128325,0.479,3,6
168,53,Doctorate,Prof-specialty,128325,0.479,3,6
169,53,HS-grad,Exec-managerial,128325,0.479,3,6
170,53,Bachelors,Adm-clerical,128325,0.479,3,6
172,53,Masters,Exec-managerial,128325,0.479,3,6
173,53,Some-college,Adm-clerical,128325,0.479,3,6
174,53,HS-grad,Prof-specialty,128325,0.479,3,6
176,53,Doctorate,Craft-repair,128325,0.479,3,6
177,53,HS-grad,Adm-clerical,128325,0.479,3,6
178,53,Masters,Exec-managerial,128325,0.479,3,6
179,53,Some-college,Prof-specialty,128325,0.479,3,6
180,53,HS-grad,Tech-support,128325,0.479,3,6
202,53,Some-college,Adm-clerical,128325,0.479,3,6
203,53,Bachelors,Prof-specialty,128325,0.479,3,6
204,53,Doctorate,Exec-managerial,128325,0.479,3,6
