id,age,education,occupation,income,mobility,health,life_quality
1,90,Some-college,Prof-specialty,200000,0.000,3,10
2,90,Masters,Exec-managerial,200000,1.000,1,8
3,90,HS-grad,Other-service,15000,0.000,5,1
4,90,Doctorate,Sales,200000,0.755,1,10
5,18,Some-college,Handlers-cleaners,200000,0.107,1,10
6,18,Bachelors,Adm-clerical,15000,0.000,1,10
8,90,Masters,Exec-managerial,200000,0.000,1,10
9,90,Doctorate,Other-service,200000,1.000,2,10
10,90,Some-college,Sales,187729,0.000,1,2
31,18,Doctorate,Exec-managerial,44864,1.000,1,10
34,90,HS-grad,Prof-specialty,15000,1.000,3,10
35,18,HS-grad,Adm-clerical,15000,1.000,1,9
36,90,Bachelors,Exec-managerial,48010,1.000,5,10
37,55,Doctorate,Prof-specialty,15000,1.000,5,10
38,90,Some-college,Adm-clerical,200000,1.000,4,1
39,18,HS-grad,Other-service,15000,1.000,5,10
40,53,Bachelors,Prof-specialty,200000,0.000,1,1
61,18,HS-grad,Adm-clerical,15000,0.000,5,6
62,24,Doctorate,Prof-specialty,15000,0.000,5,6
63,44,HS-grad,Other-service,15000,0.000,5,1
64,90,Bachelors,Adm-clerical,48680,0.305,1,10
65,18,Bachelors,Exec-managerial,200000,0.000,5,7
66,78,Some-college,Sales,15000,0.890,1,10
67,18,Some-college,Handlers-cleaners,200000,1.000,1,1
68,90,HS-grad,Machine-op-inspct,200000,1.000,1,2
69,18,Doctorate,Prof-specialty,15000,0.000,5,10
70,90,Some-college,Exec-managerial,35087,0.000,1,1
72,90,Masters,Exec-managerial,200000,0.000,1,10
74,18,HS-grad,Adm-clerical,200000,0.000,4,10
77,18,Bachelors,Exec-managerial,48009,1.000,1,10
78,90,Some-college,Handlers-cleaners,200000,0.000,4,10
79,90,HS-grad,Sales,15000,1.000,1,10
80,90,HS-grad,Adm-clerical,200000,1.000,5,6
101,90,Doctorate,Prof-specialty,15000,0.000,1,10
102,18,Some-college,Other-service,199932,0.294,1,4
104,90,HS-grad,Handlers-cleaners,15000,1.000,2,1
106,90,Doctorate,Exec-managerial,200000,0.458,1,6
108,90,Bachelors,Other-service,15000,0.839,3,3
109,79,Masters,Prof-specialty,79178,1.000,4,4
151,18,HS-grad,Other-service,156373,1.000,1,10
152,34,Masters,Exec-managerial,200000,0.000,5,1
153,52,Some-college,Handlers-cleaners,15000,0.000,1,10
154,90,Bachelors,Adm-clerical,197275,1.000,5,1
155,18,Doctorate,Prof-specialty,15000,0.000,2,9
156,50,HS-grad,Other-service,200000,0.000,1,1
157,26,HS-grad,Other-service,15000,0.865,1,10
158,18,Bachelors,Prof-specialty,200000,0.000,1,4
159,90,Some-college,Other-service,15000,0.000,5,1
160,18,HS-grad,Adm-clerical,200000,0.000,5,10
161,40,Doctorate,Prof-specialty,200000,0.000,5,10
162,90,Some-college,Adm-clerical,15000,1.000,1,10
163,18,HS-grad,Sales,15000,0.000,5,1
164,25,Bachelors,Handlers-cleaners,89059,1.000,3,2
165,18,Masters,Exec-managerial,15000,0.282,1,10
166,90,HS-grad,Other-service,200000,0.000,5,1
167,18,Some-college,Tech-support,15000,0.928,4,10
168,18,Doctorate,Prof-specialty,15000,0.000,1,1
169,55,HS-grad,Exec-managerial,15000,1.000,1,10
